1	0	98174_0_14	0
1	0	506920_0_136	0
1	0	347157_0_22	0
1	0	363323_4_6	0
1	0	496450_0_24	1
1	0	305077_0_32	0
1	0	368078_0_3	1
1	0	532420_0_26	1
1	0	313892_1_1	0
1	0	367995_0_7	1
1	0	551585_0_17	1
1	0	380472_0_40	0
1	0	313728_2_52	1
1	0	49519_0_1	0
1	0	414454_0_17	0
1	0	97907_0_45	0
1	0	98351_4_157	0
1	0	316371_0_8	1
1	0	419586_1_20	0
1	0	448144_0_77	0
1	0	78815_0_15	0
1	0	546316_0_75	1
1	0	98705_0_29	0
1	0	493599_2_4	0
1	0	332403_14_20	0
1	0	280866_0_32	0
1	0	549936_0_2	1
1	0	267149_0_9	0
1	0	371465_0_1	0
1	0	101319_0_68	1
1	0	29157_0_20	0
1	0	331752_0_12	0
1	0	537_0_27	0
1	0	484024_0_15	1
1	0	368573_1_0	1
1	0	343905_0_45	0
1	0	304663_0_2	0
1	0	324778_0_1	0
1	0	372929_0_3	1
1	0	493599_3_4	0
1	0	87398_1_7	0
1	0	145463_2_11	0
1	0	491769_0_24	0
1	0	242866_0_11	0
1	0	202752_42_64	0
1	0	228355_2_28	0
1	0	38494_1_0	0
1	0	4234_1_33	1
1	0	98153_0_1	0
1	0	91536_0_30	0
1	0	30208_0_6	0
1	0	208163_0_9	0
1	0	530331_0_17	1
1	0	336400_0_20	0
1	0	209656_0_23	1
1	0	38264_29_17	0
1	0	517743_0_18	0
1	0	98741_1_24	0
1	0	22710_0_0	0
1	0	353642_2_56	1
1	0	194417_8_15	0
1	0	98096_1_31	0
1	0	241866_0_19	0
1	0	476962_0_40	0
1	0	189441_1_1	1
1	0	75057_0_16	1
1	0	202752_5_31	0
1	0	211394_1_16	1
1	0	290691_0_20	0
1	0	610_1_3	0
1	0	459246_0_2	0
1	0	416969_0_27	0
1	0	410283_0_25	1
1	0	50078_0_22	1
1	0	332080_0_55	0
1	0	471867_0_5	1
1	0	372117_0_17	0
1	0	7833_16_4	1
1	0	6562_2_8	0
1	0	247117_1_25	1
1	0	61190_2_0	0
1	0	92174_0_28	0
1	0	97905_0_11	0
1	0	360380_1_10	0
1	0	364403_8_1	1
1	0	327837_0_8	0
1	0	100014_4_9	0
1	0	518080_0_25	0
1	0	181585_0_32	0
1	0	263353_3_6	0
1	0	230029_1_34	0
1	0	278364_1_9	0
1	0	535990_3_57	0
1	0	481470_0_7	0
1	0	518739_0_3	0
1	0	53321_0_12	0
1	0	91954_1_40	0
1	0	24766_0_33	0
1	0	385252_0_23	0
1	0	131574_0_20	0
1	0	310958_0_15	0
1	0	171842_0_0	0
1	0	310659_0_26	0
1	0	325169_0_0	0
1	0	125092_0_17	1
1	0	35797_0_16	1
1	0	53112_1_1	1
1	0	513573_0_17	0
