2025-04-14 20:41:58,479 INFO    StreamThr :306491 [internal.py:wandb_internal():88] W&B internal server running at pid: 306491, started at: 2025-04-14 20:41:58.479308
2025-04-14 20:41:58,497 DEBUG   HandlerThread:306491 [handler.py:handle_request():139] handle_request: status
2025-04-14 20:41:58,497 DEBUG   SenderThread:306491 [sender.py:send_request():317] send_request: status
2025-04-14 20:41:58,498 INFO    WriterThread:306491 [datastore.py:open_for_write():75] open: /home/marcos.fernandez.pichel/PhD/Depresym-retrieval/src/wandb/offline-run-20250414_204158-2hb8iwgu/run-2hb8iwgu.wandb
2025-04-14 20:41:58,547 DEBUG   HandlerThread:306491 [handler.py:handle_request():139] handle_request: run_start
2025-04-14 20:41:58,551 DEBUG   HandlerThread:306491 [system_info.py:__init__():31] System info init
2025-04-14 20:41:58,552 DEBUG   HandlerThread:306491 [system_info.py:__init__():46] System info init done
2025-04-14 20:41:58,552 INFO    HandlerThread:306491 [system_monitor.py:start():150] Starting system monitor
2025-04-14 20:41:58,552 INFO    SystemMonitor:306491 [system_monitor.py:_start():116] Starting system asset monitoring threads
2025-04-14 20:41:58,552 INFO    HandlerThread:306491 [system_monitor.py:probe():168] Collecting system info
2025-04-14 20:41:58,552 INFO    SystemMonitor:306491 [interfaces.py:start():168] Started cpu
2025-04-14 20:41:58,553 INFO    SystemMonitor:306491 [interfaces.py:start():168] Started disk
2025-04-14 20:41:58,553 INFO    SystemMonitor:306491 [interfaces.py:start():168] Started gpu
2025-04-14 20:41:58,554 INFO    SystemMonitor:306491 [interfaces.py:start():168] Started memory
2025-04-14 20:41:58,554 INFO    SystemMonitor:306491 [interfaces.py:start():168] Started network
2025-04-14 20:41:58,714 DEBUG   HandlerThread:306491 [system_info.py:probe():195] Probing system
2025-04-14 20:41:58,717 DEBUG   HandlerThread:306491 [system_info.py:_probe_git():180] Probing git
2025-04-14 20:41:58,724 DEBUG   HandlerThread:306491 [system_info.py:_probe_git():188] Probing git done
2025-04-14 20:41:58,724 DEBUG   HandlerThread:306491 [system_info.py:probe():241] Probing system done
